time,low,high,open,close,volume
1472601600,569.54,575.15,574.95,572.89,1137.16290144
1472688000,568.65,573.31,572.89,573.02,1549.76999625
1472774400,570.28,577.19,572.94,576.21,1706.39221395
1472860800,574.91,600.99,576.41,600.74,1894.3677463
1472947200,597.52,617.12,600.93,611.92,1692.0830643
1473033600,602.06,611.98,611.94,606.28,1044.17822817
1473120000,605.64,612.99,605.93,612.99,1348.11523924
1473206400,609.66,617.19,612.99,615.04,1278.33280794
1473292800,613.77,631.3,615.22,627.97,1747.54231291
1473379200,618.68,628.69,627.97,622.07,1414.62579071
1473465600,620.88,626.52,622.07,623.59,950.34331576
1473552000,592.54,630.1,623.58,607.94,1356.70510347
1473638400,603.4,609.09,607.94,606.74,1283.20686076
1473724800,605.35,609.99,606.86,608.35,1133.23094408
1473811200,608.03,611.98,608.39,608.46,1066.96279467
1473897600,605.13,609.49,608.47,605.44,897.04433794
1473984000,604.97,608.1,605.43,607.93,1145.69590549
1474070400,605.14,608.99,607.95,607.92,1046.19275411
1474156800,607.23,611.92,607.92,611.36,1073.15434376
1474243200,607.51,612.46,611.4,608.6,891.11666413
1474329600,605.6,609.91,608.6,605.6,1294.21809068
1474416000,594.08,605.6,605.6,597.0,1620.73175327
1474502400,594.99,598.52,597.0,596.21,1472.12648894
1474588800,595.14,603.3,595.99,602.96,1715.18066104
1474675200,601.08,605.85,602.96,603.68,1113.26793901
1474761600,599.52,603.97,603.69,601.63,1028.01908337
1474848000,600.14,607.98,601.67,606.94,1353.12328902
1474934400,601.45,607.51,607.04,605.71,1070.05444337
1475020800,603.21,605.99,605.71,605.04,1127.00275624
1475107200,603.87,606.88,604.96,605.99,1361.77884145
1475193600,605.07,608.99,605.99,608.99,1607.8188797
1475280000,608.98,617.19,608.99,615.57,1430.06246438
1475366400,608.67,615.9,615.65,612.4,1130.37242479
1475452800,611.03,615.23,612.42,612.99,1531.45337172
1475539200,609.02,613.21,612.99,610.34,1561.96249966
1475625600,609.22,614.21,610.33,613.16,1485.21831163
1475712000,610.45,613.38,613.16,611.78,1176.14303217
1475798400,610.86,618.68,611.78,618.04,1919.86897528
1475884800,617.55,620.0,618.11,619.49,1221.86836441
1475971200,617.0,619.59,619.46,617.42,947.64878481
1476057600,615.49,619.2,617.43,618.72,1433.62486094
1476144000,618.2,645.54,618.72,642.43,1720.66199212
1476230400,632.58,643.53,642.3,635.91,1135.71417575
1476316800,632.82,639.8,635.9,635.8,1055.56638924
1476403200,625.65,639.99,635.8,638.03,964.75866599
1476489600,636.23,639.99,638.03,638.0,343.52527777
1476576000,637.87,643.91,638.16,642.1,867.0247445
1476662400,636.31,643.47,642.1,639.56,1192.98723423
1476748800,632.16,640.0,639.56,635.12,1433.0214237
1476835200,625.6,636.99,635.12,629.78,1254.95525065
1476921600,626.1,629.99,629.79,628.05,1372.15951536
1477008000,627.59,633.41,628.19,630.81,1296.11374792
1477094400,629.44,657.99,630.67,652.75,1614.2567094
1477180800,645.34,655.8,653.03,651.04,766.48675076
1477267200,645.86,652.93,651.05,649.98,922.59770392
1477353600,648.99,657.5,649.98,654.3,1826.20145525
1477440000,652.63,678.0,654.3,674.0,1681.05747508
1477526400,673.57,692.01,674.0,691.21,2366.06983677
1477612800,683.3,691.17,691.01,689.95,1490.85585194
1477699200,689.4,725.4,689.95,714.28,2513.15915077
1477785600,692.47,714.98,714.28,697.41,1262.40061275
1477872000,681.25,709.68,697.39,696.9,1471.73246137
1477958400,696.37,737.5,697.07,730.7,2385.39061352
1478044800,720.8,744.0,730.7,744.0,1451.89975225
1478131200,673.1,746.0,744.61,690.0,2872.08209637
1478217600,683.85,708.33,690.0,706.27,2403.12145778
1478304000,698.09,707.99,706.05,706.99,1242.97645415
1478390400,705.87,719.72,706.98,717.03,1211.61494966
1478476800,701.93,717.19,717.04,706.41,1334.28001503
1478563200,704.34,715.99,706.41,711.16,1581.92547968
1478649600,710.06,746.75,711.3,720.97,3716.22561544
1478736000,706.15,723.46,721.0,712.91,1246.70867949
1478822400,712.5,717.97,713.0,716.9,1325.50268587
1478908800,702.5,716.99,716.56,704.45,895.22179966
1478995200,685.93,705.65,704.63,703.99,1662.65633609
1479081600,695.75,708.48,704.01,708.32,1332.63841228
1479168000,703.89,716.0,708.4,711.88,1042.09571282
1479254400,710.01,743.8,711.92,738.05,1507.0096679
1479340800,730.0,750.0,738.07,730.0,1164.60819776
1479427200,729.0,750.96,729.61,748.54,1331.61154297
1479513600,738.42,752.26,748.55,750.77,1096.82075721
1479600000,715.0,753.81,750.77,731.82,1607.27966987
1479686400,730.0,738.47,731.72,736.39,1227.98847185
1479772800,727.14,748.62,736.39,746.66,1304.94095171
1479859200,734.01,747.12,746.66,741.52,1510.48734301
1479945600,727.04,743.99,741.51,737.99,1478.90861602
1480032000,729.97,739.99,737.99,739.74,1319.02074355
1480118400,726.02,739.98,739.51,735.7,1182.05072933
1480204800,728.4,737.88,735.69,729.24,1048.35062161
1480291200,729.01,735.84,729.24,730.21,1423.20044104
1480377600,728.37,734.33,730.18,732.44,1451.53110115
1480464000,729.25,745.0,732.44,742.68,1365.81157551
1480550400,741.99,754.85,742.51,754.0,1399.21850751
1480636800,753.59,779.77,754.0,769.79,2179.83892251
1480723200,759.0,771.92,769.78,766.98,1440.6876236
1480809600,763.21,769.75,766.86,767.93,1330.01324102
1480896000,748.61,767.99,767.94,752.0,1755.89983995
1480982400,752.0,761.46,752.01,759.8,1849.83300426
1481068800,750.91,768.9,759.93,764.46,1996.09804383
